strain,ens_gene,log_bleach,log_settle
CB4856,WBGene00020199,9.0225596343154,9.22981968507943
CB4856,WBGene00020200,8.52583907037283,8.51622322395922
CB4856,WBGene00020201,4.83293975530661,4.36327164794434
CB4856,WBGene00020202,3.65443727925952,3.51437010900585
CB4856,WBGene00020205,6.87439342690123,6.99775256522195
CB4856,WBGene00020207,11.183395849872,10.8806636118562
CB4856,WBGene00020208,10.9694436733739,10.6710212317408
CB4856,WBGene00020209,11.8538967131839,11.5093659245404
CB4856,WBGene00020212,4.80858960121207,4.48748101040697
CB4856,WBGene00020214,8.88650881828486,8.61158801937246
CB4856,WBGene00020215,8.26671491296098,7.9536942346357
CB4856,WBGene00020216,11.7408416516031,11.9190890957378
CB4856,WBGene00020218,11.8611202076511,12.1090183531103
CB4856,WBGene00020219,9.7736974127585,10.1690690433607
CB4856,WBGene00020220,3.04655127882379,3.24301577723678
CB4856,WBGene00020222,7.35307239400958,7.26467395148055
CB4856,WBGene00020223,9.11085844679786,8.46829056557953
CB4856,WBGene00020224,5.88466446528053,6.38889820863228
CB4856,WBGene00020229,10.8082513557673,10.5419964838213
CB4856,WBGene00020230,8.18344571493467,8.24799304371493
CB4856,WBGene00020231,3.8366396971124,4.11492321545532
CB4856,WBGene00020234,11.3464417242078,11.3784873422559
CB4856,WBGene00020235,9.08590511715293,8.91728335194001
CB4856,WBGene00020236,5.73787628369014,5.75094466419577
CB4856,WBGene00020237,8.67703201649227,9.410176393337
CB4856,WBGene00020239,4.18640027443767,6.08848459047238
CB4856,WBGene00020240,3.54340538821413,5.38062913296791
CB4856,WBGene00020241,3.80757860392915,5.56413956854771
CB4856,WBGene00020242,4.06405217784326,6.10232104960259
CB4856,WBGene00020243,1.91529977880458,2.60645120825099
CB4856,WBGene00020245,7.93397811438326,7.80620608759012
CB4856,WBGene00020246,11.9213923755662,11.9057591681377
CB4856,WBGene00020247,8.51723011901229,9.2167294210508
CB4856,WBGene00020248,5.74754373709366,5.58809119194054
CB4856,WBGene00020249,4.03737772644087,3.96093849213644
CB4856,WBGene00020250,3.47217845317809,3.40919235409891
CB4856,WBGene00020251,10.7223055832062,10.5954525450462
CB4856,WBGene00020252,3.81086436000298,4.2923427204756
CB4856,WBGene00020254,4.6743655152675,4.62650645457179
CB4856,WBGene00020256,9.29295240363523,9.09460282029811
CB4856,WBGene00020258,9.72959140416453,8.98171762704531
CB4856,WBGene00020259,11.101465294025,10.966482725494
CB4856,WBGene00020260,5.30015624005001,4.60954264033827
CB4856,WBGene00020261,7.06338244844981,7.61890087376593
CB4856,WBGene00020263,11.0957229738373,11.0576544626888
CB4856,WBGene00020264,10.5748557853799,10.7521965613021
