comparison,ens_gene,baseMean,log2FoldChange,fold,iCEL
BRC20067_vs_N2,WBGene00006695,28.3959480824181,-3.61042608000568,down,No
BRC20067_vs_N2,WBGene00006775,36.8691478075928,1.97138541951542,up,No
BRC20067_vs_N2,WBGene00006862,1232.91402825862,1.03250279840987,up,Yes
BRC20067_vs_N2,WBGene00006981,175.230879618375,0.895894428704941,up,No
BRC20067_vs_N2,WBGene00006984,592.720559101559,-0.767097124724641,down,No
BRC20067_vs_N2,WBGene00007056,257.292231872152,-0.644170269874911,down,No
BRC20067_vs_N2,WBGene00007130,680.215541229786,1.00102843627499,up,Yes
BRC20067_vs_N2,WBGene00007131,174.622201131488,-1.0460025607386,down,No
BRC20067_vs_N2,WBGene00007148,16.2081668192947,2.51042826712961,up,No
BRC20067_vs_N2,WBGene00007177,44.032555765589,-3.13340150620081,down,No
BRC20067_vs_N2,WBGene00007183,67.0666327314905,3.32040763034275,up,No
BRC20067_vs_N2,WBGene00007203,213.832375130689,-1.20461062536539,down,No
BRC20067_vs_N2,WBGene00007213,29.4417052985792,1.17706185897959,up,No
BRC20067_vs_N2,WBGene00007228,1015.18918172706,0.844979180646706,up,No
BRC20067_vs_N2,WBGene00007247,41.0561606282158,1.05418348111565,up,No
BRC20067_vs_N2,WBGene00007250,39.0035356415047,-1.51140804697536,down,No
BRC20067_vs_N2,WBGene00007253,20.9896209475996,1.09687707258964,up,No
BRC20067_vs_N2,WBGene00007309,170.535574648651,-0.585796873292845,down,No
BRC20067_vs_N2,WBGene00007313,150.141914101183,-1.37647537404035,down,No
BRC20067_vs_N2,WBGene00007315,285.247121673437,-0.62789088915632,down,No
BRC20067_vs_N2,WBGene00007316,79.5305767780337,-1.07906582949736,down,No
BRC20067_vs_N2,WBGene00007362,104.341625467524,1.60812465225711,up,No
BRC20067_vs_N2,WBGene00007368,278.045780323512,0.982833200899223,up,No
BRC20067_vs_N2,WBGene00007388,129.233075541755,0.615377724475771,up,Yes
BRC20067_vs_N2,WBGene00007414,539.090112420435,0.804456565630052,up,No
BRC20067_vs_N2,WBGene00007422,691.291835582808,0.796637450628865,up,Yes
BRC20067_vs_N2,WBGene00007424,131.321972229335,-0.913604333901185,down,No
BRC20067_vs_N2,WBGene00007439,9.72712124247012,2.76092109777151,up,No
BRC20067_vs_N2,WBGene00007450,68.9040415489467,-0.696443355313624,down,No
BRC20067_vs_N2,WBGene00007454,38.5908036400022,-1.3267898485562,down,No
BRC20067_vs_N2,WBGene00007455,1200.5630428068,1.26397191934165,up,Yes
BRC20067_vs_N2,WBGene00007460,644.421007218555,-0.623575023580149,down,No
BRC20067_vs_N2,WBGene00007462,52.8680801236825,-0.933511512883043,down,No
BRC20067_vs_N2,WBGene00007482,299.403335827629,-0.658517418822743,down,No
BRC20067_vs_N2,WBGene00007495,58.4834570539601,0.870642469037912,up,No
BRC20067_vs_N2,WBGene00007507,270.263826119115,1.65480954293941,up,Yes
BRC20067_vs_N2,WBGene00007509,72.0437355055128,1.69653085874728,up,Yes
BRC20067_vs_N2,WBGene00007517,217.476724180179,-0.820329874423361,down,Yes
BRC20067_vs_N2,WBGene00007640,1075.37395145849,0.783270054046532,up,No
BRC20067_vs_N2,WBGene00007642,42.3621589153172,1.37989078374802,up,No
BRC20067_vs_N2,WBGene00007657,15.2651805457758,-3.14424249220925,down,No
BRC20067_vs_N2,WBGene00007658,80.929270840606,-2.79407459029016,down,No
BRC20067_vs_N2,WBGene00007672,25.496894498864,1.49202770207141,up,No
BRC20067_vs_N2,WBGene00007694,161.708664462837,0.694051053836038,up,No
BRC20067_vs_N2,WBGene00007699,117.00075277139,1.480395763935,up,No
BRC20067_vs_N2,WBGene00007700,53.2719015137271,-9.32517711816924,down,No
BRC20067_vs_N2,WBGene00007724,106.059920014364,-10.3201184935649,down,No
BRC20067_vs_N2,WBGene00007725,108.703006259331,-10.3560601685789,down,No
BRC20067_vs_N2,WBGene00007728,13.8676590987271,-7.37949641521144,down,No
BRC20067_vs_N2,WBGene00007766,839.112541475598,-3.40932030625275,down,No
BRC20067_vs_N2,WBGene00007769,16.6714954650596,2.11927056501135,up,No
BRC20067_vs_N2,WBGene00007813,46.7797828992575,0.79580909662374,up,No
BRC20067_vs_N2,WBGene00007848,2802.68478544414,0.604380941740735,up,No
BRC20067_vs_N2,WBGene00007850,83.3877070874659,0.916351657722404,up,No
BRC20067_vs_N2,WBGene00007851,31.8687573016802,0.774198176141676,up,No
BRC20067_vs_N2,WBGene00007867,168.865254929954,-1.0408361627762,down,No
BRC20067_vs_N2,WBGene00007894,41.7538555253289,-1.36449542078274,down,No
BRC20067_vs_N2,WBGene00007904,310.775138572028,0.907928285976619,up,No
BRC20067_vs_N2,WBGene00007946,13.6532117542103,1.16573213519404,up,Yes
BRC20067_vs_N2,WBGene00007957,629.014158147198,-1.16398560006234,down,No
BRC20067_vs_N2,WBGene00008043,94.7416500949701,1.21461985993443,up,No
BRC20067_vs_N2,WBGene00008070,18.8963675969878,4.26448959441084,up,No
BRC20067_vs_N2,WBGene00008084,66.9810866792566,0.93854590392611,up,No
BRC20067_vs_N2,WBGene00008097,16.1796113849115,1.7168224358985,up,Yes
BRC20067_vs_N2,WBGene00008111,22.3246949527043,-1.09289260833483,down,No
BRC20067_vs_N2,WBGene00008157,33.4345009181774,-8.16754957715997,down,No
BRC20067_vs_N2,WBGene00008201,31.8264170318674,1.32750236245705,up,No
BRC20067_vs_N2,WBGene00008221,171.845915978144,-0.990331857724324,down,No
BRC20067_vs_N2,WBGene00008233,1094.86907808852,-0.697063243523528,down,No
BRC20067_vs_N2,WBGene00008287,14.6377641348807,-1.10637759408233,down,No
